,id,actual_label,predicted_label
0,28f31051-acbe-4f07-ab99-e1e35d1d8468,MSSP,Other
1,3d40a6e5-1a05-46b0-a4b1-d81328a9348e,Cannabis,Other
2,32a01ee1-4ab5-4605-9618-16ab891300ac,Other,Other
3,bd6209c8-6bbf-480c-994d-9adf4c579e89,Other,Other
4,5074be26-0b84-411e-947e-bef42adf6c23,Utilities,Other
5,ada1c309-a46c-4eb0-8b66-f5b9ee9875ad,MSSP,Other
6,9a57263f-8142-4011-92bb-590e1e5e4ffd,Other,Other
7,33fc3833-5910-429d-9317-eec07348b512,Adult Content,Other
8,528ccc6b-9d4b-49c6-af9a-517772e5b0ab,Other,Other
9,a81f967e-dbf9-4ec3-9bfb-b4a6bc61a155,Other,Other
10,f01c1ea7-8a85-4afc-9f03-b4dcb3266c7a,Cryptocurrency,Other
11,f10c85f2-15e2-46e4-95d1-3d77e3b74d06,Utilities,Other
12,52baf7e0-65e4-4c60-9afa-04b8a1271f90,Payment Processing,Other
13,71fb60ff-daec-481b-a2d6-b4e07afa149e,Utilities,Other
14,2851a590-718d-4c31-b917-6c014c5b2622,Other,Other
15,e140ff64-130d-4e2a-a9a7-8d3aef0a2557,Other,Other
16,30021741-1b68-431c-b6dc-f157ebaa3a74,Debt Collection Agency,Other
17,c267b0b2-e837-46b0-aed3-5116021b657f,Cannabis,Other
18,88dc67dd-28ce-4fc3-8de1-b428e89551a4,MSSP,Other
19,f5a69074-9fb8-4486-beb0-ef51ddd36eab,Other,Other
20,d0c1593b-2f6e-4947-80a0-2c3f754ee1dd,Utilities,Educational Services
21,bb677a5f-85ee-426e-a13e-168c7c01f953,MSSP,Other
22,d4160ecb-584d-496a-adbb-71042d72b0dc,Debt Collection Agency,Other
23,ddcdffe4-dfd2-4d54-8bb9-842bc306da14,Payment Processing,Other
24,55acbb4f-0582-4000-8e60-d2a227bc28cc,MSSP,Other
25,25641ac3-cceb-4b49-b64c-7afbdcbf191c,MSSP,Other
26,800ac29c-104d-495d-98a9-ec337172e4c4,Debt Collection Agency,Other
27,fe3be4e1-7f34-4dde-b44a-560ba0a402c4,Cryptocurrency,Other
28,acc505b6-302b-4eff-a210-c413a8c00876,MSSP,Other
29,774de695-cfde-4f71-95dd-7ea3a63f6196,Adult Content,Other
30,a05ecbea-9b35-4d97-9520-b9a88e977da3,Payment Processing,Other
31,6639be89-39a4-425d-9fb5-87de8bd2c951,Payment Processing,Other
32,a6922524-c905-4542-8e76-5f28e672f076,Gambling,Other
33,e1fd9ec5-a3d1-4cc4-b187-9be48bc9b90f,Utilities,MSSP
34,4e342b05-ed03-4448-a61f-bb3ed524850d,Debt Collection Agency,Payment Processing
35,a3a3c934-b787-462b-beee-d8a5a6b4b161,Payment Processing,Other
36,ffa7e2d9-d4aa-4d23-858d-52bb781aa7b7,Gambling,Other
37,4a5b696d-ba47-46d8-8e08-95693c698ad3,Adult Content,Other
38,6833b7b4-e533-4561-bf32-efcbca171d24,MSSP,Other
39,bcdf3d63-33c6-4b29-add6-f4f77b17d2e7,Payment Processing,Payment Processing
40,d99bc758-5d56-43e9-9c8d-5b09bba23468,Other,Other
41,fda2c854-ec8e-4a27-80c0-aa5dde137b22,Cryptocurrency,Other
42,bfeb93f4-2ee0-43dd-86de-75cb7c59bdc8,Other,Other
43,76d5f57e-1092-4df5-b36f-4adb5fa77f0c,Gambling,Other
44,69a15e78-ca77-44a6-8d2c-04a19a31aaed,Educational Services,Educational Services
45,2cb4f6b7-0b52-4177-999e-c565f85f5fc3,Other,Other
46,f4ac3180-894e-4d8a-a26b-3484f0330233,Debt Collection Agency,Debt Collection Agency
47,22cecc8f-2c76-4297-b00c-d9ff7a3cbeff,Debt Collection Agency,Other
48,63f8b860-d86b-4e8b-b4f2-3400f7d9d260,Adult Content,Other
49,a0ec8244-3876-4dec-9c2f-6b50adb523ca,MSSP,Other
50,791da70a-b74d-40b6-a139-14158bd3c08c,Other,Other
51,052cd063-0975-4645-ada3-f9a940710720,Cannabis,Other
52,c5730b62-c36c-4072-a610-5966de3ba847,Other,Other
53,70fd6b6c-7c6a-40bd-84a6-d2113518b239,Educational Services,Other
54,e27e026d-4831-4ff9-85ad-c5aefb64efa9,Debt Collection Agency,Other
55,637ca200-3243-45b7-9246-278c82e041cf,Other,Other
56,b841907b-79af-4ef0-95bd-cb0c526b4def,Payment Processing,Other
57,7ae5c1dc-a6f0-45bc-a583-64f1c0de2181,MSSP,Other
58,f01317d8-d822-499e-8ea0-d503a9ea220a,Utilities,Other
59,efcc9466-27bc-4557-bbff-224bb1e20341,Cryptocurrency,Other
60,f1c41790-197f-4c39-b449-f80181c7e10f,Payment Processing,Other
61,b3118470-d9cf-4e7d-8a0c-1fde492c6e26,Educational Services,Other
62,7391f905-4374-42b1-bbdf-bf5aa88541d9,Other,Other
63,619d62b4-8a4a-4af7-a292-5b4648f947e2,Utilities,Other
64,53460933-0ac6-47d7-b168-6305dd8b7e38,Utilities,Other
65,3be22788-4bb8-45fc-ab8e-16812a15e76b,Payment Processing,MSSP
66,38166617-e906-4911-b706-ba89db658f53,MSSP,Other
67,60720cdd-e730-4db7-9abc-364ff8f32315,Educational Services,Unknown
68,5c606cbf-430f-4dec-94c5-34bfd4e5940e,MSSP,Other
69,1475fd3b-b8ce-4488-b6ba-e017478c83b3,Cryptocurrency,Other
70,03ddd649-d74e-478a-abf8-61c66a87961f,MSSP,Other
71,42bc87b3-0a00-462c-8e8c-205a6380e537,Gambling,Other
72,0294a143-1265-4dc8-b7a1-8ef477464941,Cannabis,Other
73,42983b14-8f35-4b53-817e-27b1e30ed609,Cryptocurrency,Other
74,a07ef17e-fe60-438a-adec-d56e596d469d,Adult Content,Unknown
75,499c987b-b567-4b09-a154-8e177ad3e869,Adult Content,Other
76,602ff987-57af-4da4-b53b-e894c8d82539,Gambling,Unknown
77,5cf447d0-094b-49aa-918d-550c70051a89,Cannabis,Other
78,2e0a7bb5-43af-4359-949c-ccc2ba01f61a,Gambling,Other
79,0aac52df-ef26-4062-85e7-ecb4424b35b1,Other,Other
80,8bdb3b5a-9623-4490-aa0c-05c2c827ef43,Other,Other
81,2643d6ad-5704-44b6-a5b1-798713ad18de,Cryptocurrency,Other
82,5c462313-72c8-45a4-95d3-6b6672e73fd8,MSSP,Other
83,e6ab36f4-deab-461c-840e-21c2bc72ae9b,Educational Services,Other
84,593e8348-0590-4680-bf70-b70cb71ebc98,Educational Services,Other
85,6a7c0dae-224e-493d-aa9c-1f692854f33d,MSSP,Other
86,ddd476dd-bcbf-4857-a84e-8c64b64db55f,Cannabis,Other
87,c17069ed-a604-46a7-9bdb-d0471d7f8e4c,Cannabis,Other
88,1ec90e2d-0a5a-495e-8218-05e3872310e1,Other,Other
89,afc49828-ddd6-4e6e-ad4d-be929348b042,Adult Content,Other
90,462aad0b-977c-420a-b018-14ab167bfa31,MSSP,Other
91,859d2fa7-5a9c-4b7c-881d-fd96ef22bb81,MSSP,Other
92,e6eca7c2-8c43-4754-86b1-64366859e22d,Other,Other
93,da38fbf9-be5d-4bc4-acbb-cd8729a86885,Utilities,Other
94,61b81644-3cb4-496c-bb10-8ff4b134402b,Cannabis,Other
95,8173e9b0-4cee-4ba3-864e-901c643abaca,Other,Other
96,644de2ce-2b4b-4354-b7fa-c60be3e1dd36,Adult Content,Other
97,ad587506-c925-4347-a3f4-a28f28770a00,Other,Utilities
98,abd8a424-e332-45da-b3c4-f4c441c485a8,Other,Other
99,21d70fcd-cba5-436e-b2f7-a34086495020,Other,Unknown
100,ab005f86-fd0e-4295-921a-124d389acffd,Other,Other
101,1be35d84-5ae0-49a0-8115-c9cfa1d8df23,Cryptocurrency,Cryptocurrency
102,4583e261-dcce-4f09-b6aa-a5d2bf43f83e,Debt Collection Agency,Other
103,7216fb14-8a83-4566-885e-7be4f49dbf18,Debt Collection Agency,Other
104,e95d9b63-0481-4f8a-9497-62f89b24b211,Other,Other
105,ff779bf5-35de-437f-81ae-2116748d2405,Cryptocurrency,Payment Processing
106,8e089a29-9326-41ed-b86b-fa421ef6f9c6,Cannabis,MSSP
107,ea579b6a-c33e-4e18-bfff-bffa1171dca6,Cannabis,Other
108,b6df6883-5ce0-4e9c-a6a1-895b76067148,Utilities,Payment Processing
109,65e630bb-e566-4ddb-9abb-91ebce515dd5,MSSP,Other
110,191bb122-d1fb-4b1b-909e-06148b064f1b,Utilities,Other
111,70177566-6455-4845-bde7-ffed17ae7f0c,Gambling,Other
112,8cf6f34a-e23b-4334-9571-d76c46bb9e87,Other,Other
113,5dcd53ef-0f0b-4a74-9769-08d9e76466af,Other,Other
114,f5467283-24d2-44ff-bcbb-d253a2c13cea,Adult Content,Other
115,6a2cdf16-fae6-4b8b-9a2f-f120492dac78,Gambling,Other
116,7b52fb70-c0ca-445d-b656-a21954205079,Other,Other
117,be9b0450-7a18-4ac9-b29b-08337d33003a,MSSP,Other
118,db16e491-b2ef-4be6-a30b-7dafaa53f85f,Other,Other
119,0f2fce7e-6d6e-46c1-94c4-84291c3c8f50,MSSP,Other
120,ffac7cbf-853b-4345-8a44-232c99fce2e4,Utilities,Other
121,1baf3b9a-5a01-4d4f-be63-3d58f281bac9,Other,Other
122,60369488-ac2b-4b8b-b96a-bab08f9f7393,MSSP,Other
123,8597a9f4-6002-4f6f-b5cd-c90b1a7ea28d,MSSP,Other
124,72162242-f8b0-48ff-bc68-1d96f715d347,Other,Other
125,c9774ac0-0f64-4420-8241-ff7985b04ed1,MSSP,Other
126,123047b5-a862-42b4-98b3-3068b369bfb7,Other,Other
127,72f43012-7aa5-4095-86d1-8b255abc04b9,Cannabis,Other
128,d7915e25-5d62-4e1a-83d1-87b77feac94b,Other,Unknown
129,682b5ace-b28d-4768-99e7-0416e0e7c9ba,Other,Other
130,c7a18eb6-f8dc-465e-b5ff-221ccbfa4e76,Payment Processing,Payment Processing
131,a1813012-13e2-41c0-9990-24befbe29427,Adult Content,Other
132,6ec611a4-34b7-4f7d-8134-c1faaba5d2e2,Other,Other
133,623035b8-4738-45ad-8c52-cc6554ff30f7,Educational Services,Other
134,a648f2e5-f968-41ff-a642-4397b6b64860,Other,Other
135,80568848-cbb7-4921-abc9-9d695661a96b,Other,Other
136,928d2449-abcf-4ee2-abbd-d2b5d8238c27,Other,Other
137,c35cef33-add9-42e7-8537-83604e31b359,MSSP,Other
138,e8070e87-6d54-4250-9cb7-b2530524854f,Educational Services,Other
139,061fb3b1-d204-4b1c-bb79-5537774f159a,Educational Services,Educational Services
140,09fb6ce6-e6cc-4e55-8bd3-c73d984433bc,Payment Processing,Other
141,a7ddcfcd-82f5-4d4b-9f11-468c5b00767f,MSSP,Other
142,ac3e96ed-8bdd-4c59-85a1-7bc80875b9d3,Payment Processing,Payment Processing
143,fcd81f42-af20-426d-ab95-a0848ae7b2a3,Gambling,Other
144,bc8de725-9fb9-408a-a95c-54a9c9273171,Payment Processing,Other
145,367f75c9-9d68-47c9-b288-2ee9b1ed83f6,Cryptocurrency,Other
146,82ad87e8-d573-4132-b0db-93bc1731a1c5,Adult Content,Payment Processing
147,76fd4c73-dc6b-401a-bb28-1ce29c19458a,MSSP,Other
148,6649c57e-7ca5-48fa-9dd5-5ff9430362f3,Educational Services,Other
149,25364cc5-7854-4da1-a81a-70344960459c,Other,Other
150,5e12cb38-06e9-42f0-9c23-094abd4f7a9a,Gambling,Other
151,00b59702-8d0c-439b-a13f-37ec6850f3e2,Payment Processing,Other
152,b385d011-ab05-4354-af24-dd52e1865aca,Utilities,Other
153,9fe6e978-fa50-42d6-8f40-d694697625e7,Cryptocurrency,Other
154,f661e6b8-de81-48c0-9e97-59cc84aacc4b,Educational Services,Other
155,ff5483f7-f376-4fad-bed8-e76d10502a78,Utilities,Other
156,5e618ad5-4c09-4466-8f8b-969c7e2e3eaa,Payment Processing,Other
157,4c89684c-baf4-4a5c-a7a9-083474ed8fd7,Utilities,Other
158,29041488-8152-412a-9f25-a0e9b53ef21c,Utilities,Other
159,d6baf73b-821c-4986-b47c-090adc54db5a,Cryptocurrency,Other
160,6653d948-5a4c-4a27-b58b-3439a1bde373,Adult Content,Other
161,a9fc5afc-9d96-48e2-8bb5-38b13f35555b,MSSP,Other
162,5bfd0bec-c99b-4d54-98a0-249f6cc55851,Gambling,Other
163,8686fc81-f9e6-4f63-b799-376f43a211c0,Utilities,Other
164,53a816ba-936a-4600-a70b-22374cbc597d,Debt Collection Agency,Other
165,4ec4507b-4bc6-4834-880a-148b5640b24f,Utilities,Other
166,3bc41a18-4d49-4ead-b2e2-80a0577454a1,Cannabis,Other
167,868dc0c3-0b6a-4257-9257-6439f76c49ee,Other,Other
168,7cacb302-706c-40d2-b720-c0f2692744d4,Educational Services,Other
169,729b5cc7-7df9-4023-b37b-015a9c224626,Other,Other
170,55159fd9-1275-449b-8b04-5574022e7641,Other,Other
171,debeed54-f3e9-4902-ac3b-80ab6095dd41,Adult Content,Other
172,559c04f1-8ea3-432b-b86c-25e9fa8af90a,Adult Content,Other
173,66689bfe-fccc-485a-834b-ad9f6cd80c96,Cannabis,Other
174,d9cac4a2-d2c2-44a3-af2f-c82f212db230,Debt Collection Agency,Payment Processing
175,0122c937-298c-4830-aab9-67018d305fc9,Gambling,Gambling
176,bf8ca07d-4945-4b1d-a76d-5a71a18b658f,Other,Other
177,646a16a3-b098-478a-8f79-e69e20d80871,Other,Other
178,eea2a799-6825-492a-96b3-6f579235e4c6,Debt Collection Agency,Other
179,94d558e5-62ad-4791-b381-033263a012ef,Adult Content,Other
180,ed31d8fa-fe31-4166-a16a-2805c3d9a8d4,Other,Other
181,9598ba71-98e6-4364-b99d-773cf563c7d5,Other,Other
182,969e5c96-41ed-4b8d-9408-6bf14e1ad01f,Other,Other
183,35f77bff-0068-4657-94c9-cf2e2722deec,Debt Collection Agency,Other
184,63de900e-dfde-4d3f-ac35-d25b3cb3e121,Adult Content,Utilities
185,a11f91d1-6259-4c2c-86c1-be4d00d02ed2,Payment Processing,Unknown
186,eddca8f9-405b-4fdf-9e9c-98ddfaf8c74b,Other,Other
187,085b9b78-25f5-423d-850c-6216385af996,Utilities,Other
188,29b05139-93c2-47aa-bae1-a91381cbff1f,Cryptocurrency,Other
189,ea29dd9e-964d-4483-b2c3-d335943f7c7d,Adult Content,Other
190,4b8ec6b2-4024-4fef-af16-c2d62ce21c8b,Debt Collection Agency,Other
191,3271c6e8-46d0-415a-a1d1-b671284652d3,Cannabis,Cannabis
192,1a5fed95-0a25-47c2-bafe-2cb9ac71953d,Adult Content,Other
193,02207de2-84c2-4613-a9dc-6d15f00fd742,Other,Other
194,1cf9e257-f5ea-4290-82c7-81e630c802b1,Cryptocurrency,MSSP
195,a5a49d0d-d777-4ce5-bb43-5fd29331f212,Other,Cryptocurrency
196,213e5fda-a39d-4eb7-8a3b-47fb87df2148,Gambling,Other
197,f7b2ac69-001f-4af8-9e2d-3a8b0333c956,Other,Other
198,f1bd0f42-0ee8-403e-9127-ed7c283be3db,MSSP,Other
199,a14d1fed-4633-4979-9e0e-8b4e392df7dc,Other,Other
200,86b8e310-a7b0-4929-aaff-60726af0a17d,Educational Services,Unknown
201,5d118ad5-34d6-444e-a798-4382df06c1a9,Other,Other
202,67ea575d-e6bf-4e0d-8dae-fd6453d8bbb7,Other,Other
203,54fa2469-8e55-41f8-9743-f7ca847c965c,Cryptocurrency,Other
204,d04722d4-9d95-4ca7-8216-83fecf483e92,Adult Content,Other
205,470cf70b-f891-415c-a2e8-3fa4c5bd9ddc,MSSP,Other
206,435cb4bb-178a-41e4-b997-474c4980c699,Utilities,Other
207,07d50712-fcc8-4dbf-adbb-66095bec3903,Cryptocurrency,Other
208,4facdf11-81f6-4acd-a8c3-4f083c940f5b,Other,Other
209,30ac4952-2138-4e28-889e-8f8a15b77608,Other,Other
210,9ab3c703-82d0-4ee1-a4b9-f0b1f7eb7cbb,Other,Other
211,56faf30c-c11e-4709-8e4a-f29376e97876,Debt Collection Agency,Other
212,6b78f184-23ed-403c-83a0-0972a05af1e5,Cannabis,Other
213,bd8c3be1-df44-40ca-a81c-92fb68aa403d,Other,Other
214,441916ad-9c4c-4eb1-858f-7e1ce05c6527,Cryptocurrency,Other
215,57ef5ffc-b6ae-455e-a2ed-16112a04d0a9,Debt Collection Agency,Other
216,c753469b-12df-4695-8d99-f5d7e0dea5ce,Educational Services,Other
217,79ec76f2-630b-4362-b13b-b026c80045a4,Utilities,Cryptocurrency
218,54153c62-d213-442e-a16a-603137712a1c,Cryptocurrency,Other
219,0c17aa59-6b13-45de-bf83-459b4648b26a,MSSP,Other
220,575f72f7-5f0b-4b95-b5a6-84187e13f15f,Other,Other
221,5511643a-a13b-45e8-aafd-cfa0ef24d4c0,Other,Other
222,79e71b76-946a-488a-abec-a7a3601cc39c,Gambling,Other
223,278e8ddc-aa4a-46a8-ace1-d29a0f293c98,Educational Services,Other
224,8c2235d8-6b7c-4bdd-b40c-4913b92fc7de,Debt Collection Agency,Other
225,8656756d-d75c-4e88-8682-e90077b95f8c,Other,Educational Services
226,2302d176-88e5-4989-b5f7-fdea8398dc6d,Payment Processing,Other
227,ae753d29-b5e3-4531-bd87-a8f61cf8c9c4,Debt Collection Agency,Other
228,99d058fc-0dcc-42e8-b454-425117bb84fb,Debt Collection Agency,Other
