domain,label,job_id,AWS Region,bucket_name,ouput_dir,status,success_rate
theitco.net,MSSP,28f31051-acbe-4f07-ab99-e1e35d1d8468,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/6380d526-da39-4fe9-89cf-eb801e4413fe,finished,0.91
sanctuarymed.com,Cannabis,3d40a6e5-1a05-46b0-a4b1-d81328a9348e,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/a927ed59-793c-49fc-bf8e-7340313d4aad,finished,1
bodleeds.co.uk,Other,32a01ee1-4ab5-4605-9618-16ab891300ac,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=21/c19bb88c-112d-488a-a383-42dd085d0521,finished,1
foxfirenh.com,Other,bd6209c8-6bbf-480c-994d-9adf4c579e89,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=36/bf4ae417-aa98-4a35-9376-9a25a63bc978,finished,0.91
panoramicdoors.com,Utilities,5074be26-0b84-411e-947e-bef42adf6c23,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=52/57144423-2ae9-4bad-9b38-fe6c657be628,finished,0.91
meldcx.com,MSSP,ada1c309-a46c-4eb0-8b66-f5b9ee9875ad,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/87087550-a8d5-4e9b-b9f0-d25e0d9151f8,finished,1
wgacotton.com,Other,9a57263f-8142-4011-92bb-590e1e5e4ffd,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/9a57263f-8142-4011-92bb-590e1e5e4ffd,finished,0.82
sexyliving.com,Adult Content,33fc3833-5910-429d-9317-eec07348b512,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=7/minutes=29/8014514a-b6d0-40ac-be20-29088dea5c70,finished,1
tartlumber.com,Other,528ccc6b-9d4b-49c6-af9a-517772e5b0ab,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=30/ff0de478-9cb0-4531-a42c-0ae0a4e5696c,finished,1
dosentrx.com,Other,a81f967e-dbf9-4ec3-9bfb-b4a6bc61a155,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/a81f967e-dbf9-4ec3-9bfb-b4a6bc61a155,started,
cryptolume.co,Cryptocurrency,f01c1ea7-8a85-4afc-9f03-b4dcb3266c7a,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=21/59c66e78-7e3a-485b-96b5-fe854677ab32,finished,1
wwsvc.net,Utilities,f10c85f2-15e2-46e4-95d1-3d77e3b74d06,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=17/minutes=49/f10c85f2-15e2-46e4-95d1-3d77e3b74d06,started,
mixpayments.com,"Payment Processing
",52baf7e0-65e4-4c60-9afa-04b8a1271f90,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=17/minutes=58/52baf7e0-65e4-4c60-9afa-04b8a1271f90,finished,0.78
shoals.com,Utilities,71fb60ff-daec-481b-a2d6-b4e07afa149e,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=19/minutes=25/71fb60ff-daec-481b-a2d6-b4e07afa149e,finished,0.91
elkhornvalleypacking.com,Other,2851a590-718d-4c31-b917-6c014c5b2622,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=43/b8472387-4d6f-4496-bf36-f566a52e4c56,finished,1
ctlaerospace.com,Other,e140ff64-130d-4e2a-a9a7-8d3aef0a2557,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/e140ff64-130d-4e2a-a9a7-8d3aef0a2557,finished,1
grandeaglecasino.com,Gambling,3b4c3ba8-58fb-4d09-b3c1-e672040c96c2,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=4/e5cdf32b-7535-40d4-b783-f59e8a0fda28,finished,0
scacollections.com,Debt Collection Agency,30021741-1b68-431c-b6dc-f157ebaa3a74,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=1/8603b0cd-5507-4c68-be5c-df7d3c080295,finished,0.9
vanorml.org,Cannabis,c267b0b2-e837-46b0-aed3-5116021b657f,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=16/minutes=10/c267b0b2-e837-46b0-aed3-5116021b657f,started,
focalpointsg.com,MSSP,88dc67dd-28ce-4fc3-8de1-b428e89551a4,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=47/40547787-8768-4998-a5d7-001c83eb4f34,finished,1
rocketfarmrestaurants.com,Other,f5a69074-9fb8-4486-beb0-ef51ddd36eab,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/f5a69074-9fb8-4486-beb0-ef51ddd36eab,started,
lehighcountyauthority.org,Utilities,d0c1593b-2f6e-4947-80a0-2c3f754ee1dd,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=44/d0c1593b-2f6e-4947-80a0-2c3f754ee1dd,started,
dataresolution.net,MSSP,bb677a5f-85ee-426e-a13e-168c7c01f953,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/5961c959-560b-4115-a5bb-d0d446f1120a,finished,0.91
augustacollectionagency.com,Debt Collection Agency,d4160ecb-584d-496a-adbb-71042d72b0dc,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/39a028f5-c451-4a5d-ab9d-0f1c16bf6cc0,finished,1
alphapaymentprocessing.com,"Payment Processing
",ddcdffe4-dfd2-4d54-8bb9-842bc306da14,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/cb7fa719-eb5e-4a0e-8462-3775320ac0ba,finished,0.91
syscom.co.uk,MSSP,55acbb4f-0582-4000-8e60-d2a227bc28cc,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/75894fa7-c155-4577-940b-aa6d475a7498,finished,1
arubanetworks.com,MSSP,25641ac3-cceb-4b49-b64c-7afbdcbf191c,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/123a1489-1ed6-41d6-bbc2-9572b9bf6351,finished,1
harriscollect.com,Debt Collection Agency,800ac29c-104d-495d-98a9-ec337172e4c4,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=10/minutes=46/8873f854-b128-4e46-bb33-a6d70c7c0593,finished,0.91
batonsystems.com,Cryptocurrency,fe3be4e1-7f34-4dde-b44a-560ba0a402c4,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/af92fbef-93a1-4e77-b3da-b7e6a53f8230,finished,0.91
herjavecgroup.com,MSSP,acc505b6-302b-4eff-a210-c413a8c00876,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/150a86cd-04ec-4e10-b92f-947cef646213,finished,0.91
moreno.mvusd.net,Educational Services,c2f9c465-5ae4-4be4-b0b4-cf335c1432b4,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/69829610-9eb8-4309-a46f-7b8b4695dab4,finished,0
up4drea.com,Adult Content,774de695-cfde-4f71-95dd-7ea3a63f6196,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=7/minutes=29/29418f6f-e6c9-4682-8518-e48f6ad41064,finished,1
cashbackloans.com,"Payment Processing
",a05ecbea-9b35-4d97-9520-b9a88e977da3,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=21/324731a6-b57b-4fbd-b7d6-723cecf88432,finished,1
creditcoop.wildapricot.org,"Payment Processing
",6639be89-39a4-425d-9fb5-87de8bd2c951,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/72734f9f-b1e3-4d97-afcc-54d7fe1d10f5,finished,0.82
lottoland.com,Gambling,a6922524-c905-4542-8e76-5f28e672f076,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=19/minutes=54/a6922524-c905-4542-8e76-5f28e672f076,finished,0.91
nanosolar.com,Utilities,e1fd9ec5-a3d1-4cc4-b187-9be48bc9b90f,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=19/minutes=47/e1fd9ec5-a3d1-4cc4-b187-9be48bc9b90f,finished,1
gowithglobal.com,Debt Collection Agency,4e342b05-ed03-4448-a61f-bb3ed524850d,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=11/minutes=22/60b1c6c8-bf6f-4455-b87f-70adc3389e4f,finished,1
alliancebancard.com,"Payment Processing
",a3a3c934-b787-462b-beee-d8a5a6b4b161,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=18/minutes=46/a3a3c934-b787-462b-beee-d8a5a6b4b161,finished,1
betadonis.com,Gambling,7e38611b-1e72-4666-bf43-fcf19c3f91b8,US East (N. Virginia) us-east-1,atbay-crawling-development,atbay-crawling-development/year=2022/month=9/day=12/hour=15/minutes=22/241e7d7b-8e99-4cef-b917-a9912491e01e,finished,0
